reviewer,date_reviewed,star_rating,message,order_id
Alexis,03/02/2023,5,It looks and works great,2763569965
Christine,02/24/2023,5,,2792621552
Elizabeth,02/20/2023,5,Has been great for clearing out and making room for everything.,2784418084
Elizabeth,02/20/2023,5,"Fantastic, saves us a lot of room on the countertop.",2784418084
Elizabeth,02/20/2023,5,"Wonderful, so glad it comes with the command velcro strips so you can put it up, take it down, and move it around.",2784418084
Elizabeth,02/20/2023,5,"Great, saves lots of room on the countertop.",2784418084
Elizabeth,02/20/2023,5,AMAZING! This is saving us so much counter space.,2784418084
Brenda,02/20/2023,5,,2781220843
Brenda,02/20/2023,5,,2786072130
Inactive Etsy Member,02/14/2023,5,,2786652786
Inactive Etsy Member,02/14/2023,5,Seriously top quality and an amazing tool for all of the stuff you need! Didn’t know I needed it until I had them!!,2786652786
santoya,02/12/2023,5,,2766230802
Alexis,02/08/2023,5,Absolutely love the sticker made for my son. They gave me options for colors and I gave them creativity to pick what they thought would match the other products I bought and I absolutely love it. They also added a cute little dinosaur sticker to it too. It’s just perfect and my son is happy and loves it. ♥️,2776121226
E.,02/08/2023,5,Loved this! Works perfectly!! Exactly what we needed.,2767024717
Crystal,02/06/2023,5,,2754305071
Tiannen,01/30/2023,5,Perfect! Love having some her to hang extensions,2768119758
Destiny,01/27/2023,4,,2719719512
promisetolove,01/26/2023,5,"Love it! Very solid/thick piece, not flimsy. Comes with a Velcro strip on the back. Fast delivery and had a lil personalized note. Definitely would recommend",2768768419
chicrocky,01/23/2023,5,"Hi. I have a 3 month old tubie baby. I purchased 2 of these tools to hang his extensions & other tubing to dry. I only received 1 but when I contacted the seller she was extremely pleasant, did not hesitate to send me the 2nd. Definitely recommend these!",2732319074
Brooke,01/20/2023,5,Love the syringe and extension holders. If they ever end up making a syringe holder for 6 ml syringes I will be the first to buy.,2764712426
Melissa,01/18/2023,5,"What a great item, that make cleaning extension sets and syringes so much easier. Thanks!",2756890765
Jennifer,01/17/2023,4,,2751163068
Jennifer,01/17/2023,4,,2751163068
Jessica,01/17/2023,5,,2752228160
Jessica,01/17/2023,5,"Great quality , fast shipping, easy to put on! So cute! Love it!",2752228160
Chrissy,01/17/2023,5,,2740952047
Chrissy,01/17/2023,5,,2740952047
dawgfan589,01/12/2023,5,This is perfect! Thank you for making items that no one thinks of but is very much essential!,2744592945
Jenny,01/06/2023,5,These are great devices! Super functional.,2746765104
Jenny,01/06/2023,5,These are amazing and so functional. Exactly what I was needing.,2746765104
Jenny,01/06/2023,5,These are amazing! Exactly what I was needing.,2746765104
Marie,01/05/2023,5,,2741306174
Jenny,01/05/2023,5,These are perfect! I can’t wait up get them hung up to use.,2746765104
monkey2899,01/04/2023,5,,2743807924
Megan,01/02/2023,5,Perfect for storing and drying gtube extensions!,2734394647
Michelle,12/29/2022,5,This holds quite a few of the tubes. Mine came w/ the strips to mount and I can move between rooms and or rinse clean if I need to. I bought more of the strips so I can replace it if I need to too!,2727774815
Hailee,12/27/2022,4,"It’s perfect, my extensions last so much longer because they actually dry between uses.",2730510788
Erika,12/20/2022,5,,2723296292
Marlene,12/19/2022,5,"Item arrived in 2 days! Incredibly
Helpful for my son and family. Thank you for making an impact on these kiddos lives!",2734461618
Michelle,12/19/2022,3,,2601656836
Kristin,12/17/2022,5,,2656764775
Sydney,12/14/2022,5,,2624167103
Amber,12/13/2022,5,,2709169301
Amber,12/13/2022,5,Fast to respond and was able to accommodate color request. Fast shipper. Very pleased with purchase.,2709169301
Crystal,12/10/2022,5,"love this product it’s handy and easy to use, we all know with rubies babies we need easy practical and efficient and this is just that",2699892423
Alaina,12/06/2022,5,,2698365055
Alaina,12/06/2022,5,,2698365055
Jamie,12/05/2022,5,I didn't think I would use this as much as I do. I thought it was an extra buy to have but it is a life changer! Hanging the extension tube to dry has been so efficient for us! Thank you for making this! More people need it!,2587959893
Michelle,12/03/2022,5,A must have. I wish I would have ordered this sooner. It’s so well made and a nice addition to keep my supplies in order and help with drying them. I love this!!!,2690041340
Michelle,12/03/2022,5,A must have. It’s so well made and a nice addition to keep my supplies in order and help with drying them.,2690041340
Yuwei,11/30/2022,5,Fast shipping. Great product.,2686306290
Gi,11/29/2022,5,,2579840170
Gi,11/29/2022,5,,2579840170
Landon,11/20/2022,5,Got mine in the mail today. Fast shipping! This product is even better quality than I expected. The syringes kind of snap in.. easily. So it’s really secure yet easy to still put them in and take them out. I will be buying more!! Thank you!,2666842345
victoria,11/14/2022,5,This item is perfect. It works exactly like the pictures. Our extensions fit snug so they don't fall out! 100 percent will purchase more items from this shop!,2636315467
Sara,11/13/2022,5,,2654304958
Nicole Bachman,11/11/2022,5,,2596938039
Alyssa,11/09/2022,5,,2656963652
kdpinon861,11/08/2022,5,,2652217822
kdpinon861,11/08/2022,5,,2652217822
Nancy,11/02/2022,5,"Nice!!  Quality great, so glad you offer these.",2642201951
Stephanie Mitchell,11/01/2022,3,Great idea and works great until the backing that holds it in place doesn't last,2577612105
Jade,10/24/2022,5,,2629776447
Amanda,10/23/2022,5,,2637781452
Tamara,10/22/2022,5,,2615040536
kdpinon861,10/16/2022,5,,2615954887
kdpinon861,10/16/2022,5,,2615954887
kdpinon861,10/16/2022,5,"This is the third time I will be ordering and this is the only place I'd trust for getting syringe holders...
I wish there was a holder that held more then one 60ml tho....but I'll keep getting these each month until I feel like I have enough....they work gtrea!  Thank you",2615954887
Ava,10/16/2022,5,,2625534695
Lexi,10/15/2022,5,,2538757265
Pearl,10/14/2022,5,,2625239327
Krista Mirelez,10/06/2022,5,,2611481755
Ashtyn,10/04/2022,5,,2615926368
kdpinon861,09/29/2022,5,Thank you!  I love it,2592068022
Leah,09/25/2022,5,,2589611259
Ashley,09/20/2022,5,Item works great! I love that I can keep extensions up and out of the way now!,2587974706
John Burke,09/20/2022,5,Item as described and holds my syringes perfectly. I an very happy with my purchase and will shop here again!,2587445517
John Burke,09/20/2022,5,Item as described and holds my syringes perfectly. I an very happy with my purchase and will shop here again!,2587445517
jennifer07181,09/11/2022,5,Fantastic little gadget! Got it in the hot pink. Perfect!,2591334940
Melissa,09/09/2022,5,Thank you,2586004771
Haley,09/08/2022,5,,2553831678
Amy,09/04/2022,5,Color is just what I ordered. Love how it came out. Great work.,2508979365
Denie,09/04/2022,4,Not as helpful as I thought it would be for my family because we didn't have a good place to hang these.,2542631563
Meaghen,08/17/2022,5,,2559662147
Becky,08/15/2022,5,,2535966838
Wray,08/14/2022,3,"Nothing wrong with the product, it was on my side that I did not look more carefully about my application of it and in the end was not a fit for my experiment",2553839836
Hello hello,08/14/2022,5,perfect product if you have a lot of supplies and want to be organized!,2557278843
Hello hello,08/14/2022,5,"absolutely love this product and store. they come with command strips so you can immediately put them up! I started using them today and I'll never go back to drying them the old way with towels in a plastic tray. also super fast Shipping and great price. if you have a lot of syringes and extensions, this will help! I also dry my port covers using the extension organizer.",2557278843
Inactive Etsy Member,08/07/2022,5,I love it. It’s so convenient and a tube feed necessity. Super fast shipping but my favorite part was that they even included the command strip already installed on it so I was able to put it up super easily. Will likely by the syringe one next once I determine what size I need.,2553287124
gregoireliseanne,08/06/2022,5,I had a few questions to ask prior to purchasing. The owner was so quick to get back to me and incredibly friendly! It came quickly and I already have it hung up in my kitchen! Thank you!!,2553264148
Tosha Bennett,08/06/2022,5,I Freaking ❤️❤️❤️THIS!!,2551784503
Stacey,08/02/2022,5,Awesome durable product. Fast service!,2547772786
Kasie,08/02/2022,5,,2466728554
Nicole,07/29/2022,5,Love this! Will be ordering the other tubie tools to go with soon!!!,2541673383
Amy,07/27/2022,5,,2538989818
Leah,07/22/2022,5,,2522931658
Leah,07/22/2022,5,,2522931658
Leah,07/22/2022,5,,2522931658
Leah,07/22/2022,5,,2522931658
Lexi,07/21/2022,5,,2510153767
Lexi,07/21/2022,5,I was keeping all my syringes on the counter after washing them but it took up so much space. Bought this in hopes of giving me back my counter. Needless to say… I’m purchasing more as i am primary caregiver for my grandma and we both have feeding tubes. These are a genius idea and are wonderful at allowing syringes to dry without taking up excessive space. And I love that they use command strips to stick so they do ruin my walls and I can move them if needed.,2510153767
Traci,07/21/2022,4,So far no issues. It came to be helpful still pretty well so far. No issues.,2534611360
Tracie,07/19/2022,5,,2519987411
Melanie,07/19/2022,4,Works just like  it says!!!,2531673410
chippyboi,07/08/2022,5,,2522945184
Mayra,07/07/2022,5,,2519016378
Mayra,07/07/2022,5,,2519016378
Angelita,07/06/2022,3,,2495477921
Cayce,07/04/2022,5,,2513245323
Susan,06/30/2022,5,,2508032373
Alana Calderon,06/24/2022,5,,2511888566
Alana Calderon,06/24/2022,5,,2511888566
amber,06/24/2022,5,,2481342967
amber,06/24/2022,5,,2481342967
ruditime1993,06/21/2022,5,Perfect for organizing my tubie stuff! Fantastic customer service answering questions and help with shipping errors made by shipping service.,2496428501
ruditime1993,06/21/2022,5,Perfect for organizing my tubie stuff! Fantastic customer service answering questions and help with shipping errors made by shipping service.,2496428501
ruditime1993,06/21/2022,5,So cute!,2496428501
ruditime1993,06/21/2022,5,Perfect for organizing my tubie stuff! Fantastic customer service answering questions and help with shipping errors made by shipping service.,2496428501
ruditime1993,06/21/2022,5,Perfect for organizing my tubie stuff! Fantastic customer service answering questions and help with shipping errors made by shipping service.,2496428501
Brenda,06/19/2022,5,,2505408918
Brooke,06/16/2022,4,Worked great. Bought two. May have to modify the adhesive backing because you have to use two hands to make sure it doesnt shift. Easy fix though.,2451738406
Emily,06/15/2022,5,,2497059940
Bethany,06/15/2022,5,Love these!!! I ordered 2 and they have been so helpful.,2500750413
Bethany,06/15/2022,5,amazing product!! So helpful & easy.,2500750413
elise,06/14/2022,5,,2501067403
Taylor,06/12/2022,5,Love it! And shipping was extremely quick!,2498078269
Sign in with Apple user,06/01/2022,5,,2485958556
Kelly,06/01/2022,5,Where has this been all our tubie life? It’s a must have for tubie parents!,2427065593
Marissa,05/27/2022,5,"Great quality and an amazing product. We were using a bottle drying rack to dry our daughters tube but since we didn’t need bottles or the rack anymore we were looking for another option. So glad we found this! 

Fast shipping and a great shop to purchase from!",2482693621
Trenisha Okoebor,05/26/2022,5,,2477638030
Trenisha Okoebor,05/26/2022,5,,2477638030
Trenisha Okoebor,05/26/2022,5,,2477638030
Trenisha Okoebor,05/26/2022,5,,2477638030
Amelia,05/22/2022,5,It’s exactly as advertised. Shipping was fast!,2477402957
Jenny,05/16/2022,5,,2470699267
Sarah,05/12/2022,5,Wonderful product and received quickly,2445213548
Amber,05/12/2022,5,Great idea and helpful hack for tubies,2453756341
Bobbie,05/07/2022,5,As a person new to having a Mic-key tube: this device is very helpful in having a convenient way to dry my tubing. It arrived very promptly!,2461157066
Sarah,04/30/2022,5,,2454504565
Whitney,04/29/2022,5,,2452002690
Barbara Thompson,04/28/2022,5,Genius! Finally I can hang dry my extensions safely! Highly recommend!,2443839507
nfsenbhb,04/27/2022,5,Works great. Only issue is it keeps falling off of my wall,2444238251
Hilary,04/22/2022,5,,2444096725
Sign in with Apple user,04/21/2022,5,,2432230445
Jessica,04/21/2022,5,,2441264271
Katrina,04/20/2022,5,,2345655299
Lindsey,04/20/2022,5,,2441975896
Georgie,04/18/2022,5,,2439672120
stephinecline1,04/15/2022,4,,2429149992
Alicia,04/15/2022,5,I am always looking for a new tubie accessory to make my life easier. Before I was using a chip-clip to hang up our extensions. So this little gem is a welcomed find! I’ll be picking up a second one for our camper :),2425051064
Barbara Thompson,04/14/2022,5,Genius! Don’t have to worry about rigging a way to hang my extensions!,2433370700
Sign in with Apple user,04/09/2022,5,,2432941281
"Jaclynn ",04/09/2022,5,,2433426817
Elena,04/08/2022,5,This is a life changer!!! It helps with saving more extensions and syringes because they actually have a way to dry. Buy this and your tubie life will benefit,2353819069
Rebecca,04/05/2022,5,,2398942999
Sign in with Apple user,03/25/2022,5,,2414239249
Emily,03/20/2022,5,perfect fit for our daughter's G-tube extensions! Quick shipping and I love that the command strip was already on the back for quick hanging! thanks again!,2410708098
Joy W.,03/20/2022,5,Good quality good product I'm happy with this purchase,2399636367
Courtney,03/18/2022,5,,2403730683
stretchyfishy,03/16/2022,5,,2397930585
karen,03/12/2022,5,"Omg, this product is fantastic.  Totally solves an annoying problem of drying out tubes.  They don’t fall off. Totally Genius!",2401893450
Christina,03/12/2022,5,Love it my counter looks more better having less stuff  on it,2388420406
Kinga,03/11/2022,5,Fantastic! Makes life so much easier.,2387468934
Norah,03/08/2022,5,Wonderful product at the perfect time.  Thank you!,2390346430
Vera,03/03/2022,5,Very good quality and a kind seller 😁,2380398316
Samantha,03/01/2022,5,,2383930373
Megan,03/01/2022,5,I love how easy it makes storing extensions.,2376675028
Priyambada,02/24/2022,5,,2377075149
Brittany,02/18/2022,5,,2371711006
camnej225,02/12/2022,5,Best best best tubie mom love it,2357683930
Jessica,02/11/2022,5,,2353735727
Stephanie Mason,02/10/2022,5,Very happy with this product!,2363615830
Stephanie Mason,02/10/2022,5,Very happy with this product.,2363615830
Stephanie Mason,02/10/2022,5,I love it! It’s going to make cleaning/storing my sons feeding extensions so much easier.,2363615830
Kynesha,02/04/2022,4,,2301764464
Dev,01/29/2022,5,Exactly what I needed to solve the super specific issue of drying feeding tube extensions. Works great! If you have a thicker extension (my G extension is a bit bigger) it still works but is a bit harder to use.,2339475396
Cheryl,01/28/2022,5,,2355398262
Jakelyne Sierra,01/25/2022,5,,2339289848
Sign in with Apple user,01/24/2022,5,,2350696907
Victoria,12/30/2021,5,So convenient to hang tubies beside the sink!,2316117044
Charlene Aguilar,12/23/2021,5,,2285918791
Stephany,12/16/2021,5,This was a great purchase! It keeps g-tube connecters where I can easily find and store them after washing.,2225551790
Deydina,12/08/2021,5,I love it! i would absolutely recommend!,2281456973
Christine,12/02/2021,5,,2271924952
Sign in with Apple user,11/28/2021,5,Love this!!,2247889034
Shirrell,11/19/2021,5,,2250375556
Shirrell,11/19/2021,5,,2250375556
marissa,11/15/2021,5,perfect . tubes are always right there when I need them. no longer need to dig through the diaper bag,2218223225
Darla,11/14/2021,5,,2236865153
Nadene,11/11/2021,5,Great product!  Glad I found it and was able to order :),2232464885
Jayy,11/06/2021,5,"Nice quality, useful product for gravity feeding",2224299450
Nicole,11/04/2021,5,,2226967942
17tfL,10/11/2021,5,Great product! So glad I found this shop.,2198577236
Nicole,10/11/2021,5,"Such a nifty tool! My preemie is doing a mix of bottles & gravity feeds & this helps so much not only being hands free, but also keeping a consistent flow going.",2204069729
brittany,10/09/2021,5,,2198038680
Darlene,10/09/2021,5,My new favorite thing! Wash and hang to dry. I don’t lose the extensions anymore,2199402703
Sara Kate,10/08/2021,5,,2199022285
Sara Kate,10/08/2021,5,,2199022285
Sarah,09/22/2021,5,Absolutely love it comes in handy,2184892809
Ms.Blue,09/17/2021,5,I ordered these and they were shipped immediately. I received within a wk. love these for hanging my sons tubes!,2173522666
Shannon,09/09/2021,5,"I am so happy with my purchase! The item is just as pictured, is great quality, and my son's extension tubes fit right in! I also appreciate the hand-written note! Thank you!!!",2166062240
Amanda,09/07/2021,5,"This is great! It makes feeding our daughter so much easier! There was a mistake originally in sending us the wrong one, and the seller was amazing about correcting it. I highly recommend for anyone who does bolus feeds.  I would buy again in a heartbeat!",2140673289
Kelsey,08/12/2021,5,,2126529238
Ms.Blue,08/10/2021,5,Tubes fit perfectly and high quality materials,2127235306
Ana,08/05/2021,5,,2137256425
Samantha,06/05/2021,5,,2068637903
brikaylad,05/06/2021,5,Awesome product! Works great! Command strips are a plus too,2039310933
Amanda,04/28/2021,5,Why didn't I get one of these sooner?! This is life-changing. My son's g-tube extensions fit in it perfectly and now my counter isn't messy anymore :),2034149103
yeeunkim2010,02/03/2021,5,,1931634072
Jo,11/29/2020,5,,1815479325
Jo,11/29/2020,5,,1815479325
Juliana,11/26/2020,5,,1799069712
Christy,11/11/2020,5,works great. Blends in with kitchen cabinets so barely noticable.,1810743225
Maegan,08/23/2020,5,,1744261177
Julia,08/15/2020,5,"Holes are slightly too small to fit the MICKEY bolus tuning but you can scrunch them in pretty easily, other than that these are super great and helpful!",1727380386
mitomommy09,08/12/2020,5,Life changer! This extension holder has made everything so much easier for us to manage all my daughter syringes and extensions it’s not a big mess anymore! Thank you!!,1726782433
mitomommy09,08/12/2020,5,"Easy to order, great communication and fast shipping! We love this syringe holder it’s perfect!",1726782433
Pattie,05/21/2020,5,,1594663562
Nicole,04/28/2020,5,,1604433531
Nicole,04/28/2020,5,,1604433531
Sarah,04/24/2020,5,,1594825710
Sarah,04/24/2020,5,,1594825710
Amy,04/12/2020,5,These are awesome! I don’t have a lot of counter space as it is so these get the tubing and syringe off the counter in between feedings.,1594660724
Amy,04/12/2020,5,These are awesome! I don’t have a lot of counter space as it is so these get the tubing and syringes off the counter and out of the way in between uses.,1594660724
